start_date,end_date,pnl,avg_trade,avg_win,avg_loss,win_trades,loss_trades,trades
2022-03-16,2023-03-08,13.58751606599991,0.08939155306578889,1.3004778418205112,-1.187158859405405,78,74,152
2022-03-18,2023-03-07,12.097054857000018,0.08702917163309365,1.2213921482499999,-1.1319877584626865,72,67,139
2022-03-16,2023-03-03,-5.533929551000039,-0.03764577925850367,1.0672431633571418,-1.0420902725454537,70,77,147
2022-03-16,2023-03-08,-7.086095890000099,-0.044566640817610685,1.2253998096623373,-1.2370961126097566,77,82,159
2022-03-16,2023-03-08,-8.262232572000105,-0.05737661508333406,1.2022584781363614,-1.1232216939615385,66,78,144
2022-03-18,2023-03-08,-9.66638029700011,-0.06487503555033632,1.1774734890882341,-1.10783429080247,68,81,149
2022-03-16,2023-03-08,-13.36423644600011,-0.0862208802967749,1.2345484976142849,-1.1739133091647063,70,85,155
2022-03-16,2023-03-08,-17.08630276200008,-0.10482394332515386,1.2339564858055556,-1.1640787883516492,72,91,163
2022-03-16,2023-03-08,-31.396082190000243,-0.20930721460000162,1.167117934074625,-1.3203973948554228,67,83,150
2022-03-16,2023-03-07,-34.273914197000124,-0.2155592087861643,1.0821417863913034,-1.2104633050888896,69,90,159
